iter	Passed	Remaining
571	10745	23068
572	10763	23047
573	10777	23020
574	10795	22999
575	10816	22984
576	10828	22951
577	10845	22930
578	10862	22906
579	10876	22878
580	10896	22861
581	10914	22840
582	10931	22818
583	10950	22800
584	10967	22778
585	10986	22760
586	11005	22743
587	11025	22726
588	11045	22709
589	11066	22695
590	11082	22672
591	11102	22655
592	11121	22636
593	11135	22608
594	11154	22590
595	11175	22575
596	11195	22559
597	11210	22534
598	11233	22524
599	11249	22498
600	11265	22474
601	11284	22455
602	11297	22425
603	11313	22401
604	11332	22383
605	11350	22364
606	11373	22353
607	11387	22325
608	11403	22300
609	11423	22284
610	11440	22263
611	11462	22251
612	11484	22237
613	11520	22253
614	11540	22236
615	11559	22219
616	11577	22198
617	11596	22179
618	11621	22173
619	11642	22157
620	11660	22137
621	11678	22117
622	11696	22097
623	11717	22083
624	11738	22068
625	11760	22054
626	11776	22030
627	11793	22009
628	11812	21991
629	11832	21975
630	11853	21960
631	11874	21945
632	11889	21919
633	11908	21900
634	11922	21873
635	11945	21861
636	11966	21848
637	11986	21830
638	12005	21813
639	12024	21795
640	12044	21777
641	12059	21752
642	12080	21736
643	12096	21713
644	12114	21693
645	12135	21678
646	12153	21658
647	12168	21633
648	12192	21623
649	12211	21604
650	12227	21581
651	12253	21574
652	12268	21549
653	12285	21528
654	12301	21503
655	12324	21492
656	12345	21477
657	12362	21455
658	12380	21434
659	12397	21413
660	12415	21393
661	12431	21369
662	12453	21356
663	12476	21345
664	12494	21324
665	12527	21330
666	12552	21321
667	12570	21302
668	12595	21294
669	12617	21281
670	12635	21259
671	12657	21246
672	12677	21229
673	12701	21219
674	12722	21203
675	12747	21195
676	12764	21173
677	12783	21155
678	12802	21137
679	12825	21124
680	12845	21107
681	12863	21086
682	12881	21067
683	12899	21046
684	12917	21026
685	12939	21013
686	12960	20996
687	12978	20977
688	12999	20961
689	13018	20942
690	13039	20928
691	13061	20912
692	13084	20901
693	13103	20881
694	13121	20862
695	13140	20842
696	13165	20833
697	13180	20809
698	13200	20792
699	13219	20772
700	13244	20763
701	13258	20738
702	13278	20720
703	13295	20699
704	13315	20680
705	13331	20657
706	13346	20633
707	13366	20616
708	13385	20596
709	13406	20581
710	13426	20564
711	13446	20547
712	13470	20536
713	13489	20518
714	13522	20520
715	13537	20494
716	13552	20470
717	13568	20447
718	13587	20428
719	13603	20405
720	13623	20387
721	13642	20369
722	13660	20349
723	13676	20325
724	13700	20313
725	13713	20286
726	13729	20263
727	13744	20238
728	13767	20226
729	13786	20206
730	13805	20189
731	13826	20172
732	13844	20152
733	13862	20132
734	13884	20117
735	13903	20100
736	13923	20081
737	13942	20063
738	13962	20045
739	13979	20025
740	14000	20008
741	14017	19987
742	14043	19978
743	14061	19958
744	14081	19940
745	14099	19921
746	14120	19905
747	14139	19886
748	14159	19869
749	14177	19849
750	14194	19826
751	14219	19815
752	14238	19798
753	14256	19777
754	14275	19759
755	14297	19743
756	14315	19724
757	14338	19711
758	14355	19689
759	14375	19671
760	14393	19651
761	14419	19642
762	14439	19624
763	14464	19614
764	14482	19593
765	14503	19578
766	14523	19560
767	14542	19541
768	14562	19524
769	14580	19503
770	14597	19481
771	14616	19462
772	14636	19445
773	14658	19431
774	14672	19406
775	14689	19384
776	14708	19365
777	14731	19351
778	14748	19330
779	14762	19305
780	14782	19287
781	14802	19269
782	14821	19251
783	14837	19227
784	14852	19203
785	14870	19184
786	14894	19172
787	14913	19153
788	14929	19129
789	14947	19110
790	14963	19087
791	14986	19073
792	15005	19054
793	15031	19044
794	15048	19023
795	15069	19006
796	15087	18986
797	15103	18964
798	15125	18949
799	15144	18930
800	15163	18911
801	15179	18888
802	15199	18871
803	15218	18853
804	15237	18834
805	15254	18812
806	15276	18797
807	15291	18774
808	15308	18753
809	15325	18731
810	15342	18710
811	15363	18693
812	15377	18668
813	15398	18652
814	15419	18636
815	15434	18612
816	15453	18593
817	15473	18575
818	15497	18562
819	15514	18541
820	15533	18522
821	15549	18500
822	15567	18480
823	15584	18458
824	15602	18439
825	15620	18419
826	15640	18401
827	15664	18389
828	15693	18381
829	15715	18366
830	15730	18343
831	15747	18321
832	15768	18305
833	15788	18287
834	15807	18268
835	15822	18245
836	15841	18226
837	15859	18205
838	15878	18187
839	15893	18163
840	15910	18142
841	15931	18126
842	15951	18108
843	15971	18090
844	15988	18069
845	16011	18055
846	16031	18037
847	16049	18017
848	16067	17997
849	16093	17986
850	16109	17965
851	16126	17943
852	16146	17925
853	16161	17902
854	16175	17878
855	16197	17862
856	16213	17840
857	16231	17820
858	16251	17802
859	16268	17782
860	16286	17762
861	16311	17749
862	16333	17734
863	16350	17713
864	16379	17704
865	16396	17684
866	16413	17662
867	16431	17642
868	16441	17614
869	16461	17596
870	16478	17575
871	16495	17555
872	16512	17534
873	16538	17522
874	16568	17515
875	16593	17502
876	16618	17489
877	16635	17469
878	16655	17450
879	16670	17428
880	16690	17410
881	16709	17391
882	16728	17372
883	16753	17360
884	16776	17345
885	16796	17327
886	16815	17308
887	16838	17293
888	16863	17280
889	16878	17257
890	16896	17238
891	16916	17219
892	16936	17202
893	16954	17182
894	16975	17164
895	16992	17144
896	17011	17125
897	17028	17104
898	17046	17084
899	17064	17064
900	17081	17043
901	17104	17028
902	17125	17011
903	17148	16996
904	17165	16975
905	17187	16959
906	17210	16945
907	17229	16926
908	17248	16906
909	17265	16885
910	17278	16861
911	17298	16843
912	17317	16823
913	17335	16803
914	17353	16784
915	17373	16766
916	17394	16749
917	17414	16731
918	17429	16708
919	17448	16689
920	17475	16678
921	17496	16661
922	17517	16644
923	17536	16625
924	17554	16605
925	17579	16592
926	17604	16579
927	17626	16563
928	17646	16544
929	17662	16523
930	17681	16504
931	17700	16485
932	17721	16468
933	17741	16450
934	17758	16428
935	17777	16409
936	17801	16395
937	17819	16375
938	17840	16358
939	17859	16339
940	17878	16320
941	17897	16301
942	17916	16282
943	17934	16263
944	17955	16245
945	17975	16227
946	17990	16204
947	18008	16184
948	18026	16165
949	18040	16141
950	18058	16121
951	18081	16106
952	18097	16084
953	18113	16062
954	18134	16045
955	18149	16023
956	18169	16005
957	18191	15988
